City,Account length,Area code,Phone number,International plan,Voicemail plan,No. vmail msgs,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total int charge,Customer service calls,Churn
Fukuoka,124,510,732-341-2286,No,Yes,5,199.36,178,33.89,118.78,190,11.88,3.5,153,0.18,17.51,17,2.63,8,True
Kyoto,110,408,411-220-3113,Yes,Yes,6,305.13,31,51.87,283.78,157,28.38,282.64,104,14.13,19.67,18,2.95,9,True
Fukuoka,456,510,507-531-1487,Yes,No,27,246.45,180,41.9,103.44,91,10.34,51.93,50,2.6,10.38,19,1.56,3,True
Nagoya,967,510,134-699-4600,Yes,No,47,244.49,11,41.56,296.21,167,29.62,67.25,65,3.36,13.76,11,2.06,4,True
Osaka,771,415,818-698-7059,Yes,Yes,9,379.75,73,64.56,51.34,23,5.13,101.71,41,5.09,5.04,17,0.76,9,False
Sapporo,389,408,986-497-9759,Yes,No,5,255.01,39,43.35,397.78,182,39.78,336.7,138,16.84,0.9,6,0.14,6,False
Tokyo,493,510,493-448-2822,Yes,No,3,255.32,41,43.4,173.7,122,17.37,265.84,188,13.29,9.86,18,1.48,2,True
Kobe,492,415,133-381-4983,Yes,Yes,5,341.14,154,57.99,51.59,39,5.16,35.83,45,1.79,11.07,3,1.66,8,True
Nagoya,59,510,392-133-4727,No,Yes,36,0.79,99,0.13,340.3,65,34.03,179.91,184,9.0,3.11,13,0.47,1,True
Saitama,778,408,667-956-2260,Yes,No,5,72.72,143,12.36,185.72,118,18.57,77.95,62,3.9,2.55,18,0.38,9,False
Osaka,330,408,585-453-8063,Yes,No,0,345.34,29,58.71,145.4,58,14.54,250.77,94,12.54,9.52,3,1.43,3,False
Yokohama,817,510,462-277-2081,No,Yes,14,329.95,130,56.09,189.31,191,18.93,176.53,39,8.83,15.23,7,2.28,3,False
Kawasaki,92,408,553-671-9586,No,No,41,262.06,154,44.55,276.26,21,27.63,340.66,126,17.03,11.62,7,1.74,8,True
Yokohama,820,408,987-924-3391,No,No,39,32.78,135,5.57,330.74,165,33.07,363.2,59,18.16,16.41,5,2.46,3,True
Kawasaki,775,415,873-414-9631,No,No,48,17.01,101,2.89,334.54,14,33.45,310.89,140,15.54,2.81,5,0.42,2,True
Fukuoka,577,408,583-263-9175,Yes,Yes,48,8.68,24,1.48,179.81,15,17.98,356.34,195,17.82,13.08,8,1.96,4,False
Osaka,347,408,730-349-9765,Yes,No,7,207.8,111,35.33,116.79,140,11.68,89.89,4,4.49,11.84,15,1.78,7,False
Kyoto,564,510,726-501-5667,No,Yes,35,31.33,28,5.33,46.56,196,4.66,225.5,13,11.28,17.23,2,2.58,1,True
Kyoto,145,510,345-628-4218,No,Yes,23,357.07,8,60.7,398.33,156,39.83,382.36,78,19.12,6.81,3,1.02,0,False
Nagoya,988,408,385-674-1748,No,No,34,54.09,51,9.2,281.74,184,28.17,166.09,109,8.3,0.27,16,0.04,1,True
Fukuoka,294,510,242-516-8238,Yes,No,5,9.86,114,1.68,380.09,22,38.01,378.26,28,18.91,19.75,4,2.96,2,False
Fukuoka,990,408,266-298-5061,No,Yes,32,231.92,153,39.43,70.52,77,7.05,148.38,77,7.42,15.54,14,2.33,9,False
Saitama,205,510,264-841-4424,No,Yes,3,98.25,51,16.7,314.8,150,31.48,234.82,45,11.74,0.42,1,0.06,4,False
Yokohama,566,510,405-851-7897,No,No,7,194.32,38,33.03,289.51,96,28.95,210.87,185,10.54,11.49,12,1.72,5,True
Kyoto,270,415,273-782-5662,No,No,11,360.23,56,61.24,188.78,26,18.88,344.37,93,17.22,7.83,16,1.17,0,True
Nagoya,944,510,771-988-4565,Yes,No,48,166.24,13,28.26,62.22,10,6.22,267.1,101,13.36,19.14,0,2.87,1,True
Saitama,785,415,510-837-8675,No,Yes,13,110.73,49,18.82,341.14,107,34.11,45.39,84,2.27,16.0,7,2.4,5,True
Kyoto,326,510,136-878-5205,No,No,31,246.65,25,41.93,396.79,119,39.68,63.72,190,3.19,3.12,8,0.47,5,False
Sapporo,133,510,484-360-2745,No,Yes,33,15.77,2,2.68,54.26,158,5.43,299.58,46,14.98,7.78,14,1.17,1,False
Saitama,713,408,431-624-9303,Yes,No,4,301.37,11,51.23,220.41,156,22.04,33.67,155,1.68,3.21,0,0.48,5,True
Kobe,840,415,664-726-4780,No,No,39,373.45,163,63.49,213.67,184,21.37,392.53,55,19.63,1.25,1,0.19,7,True
Fukuoka,494,510,611-291-4123,No,No,17,193.12,195,32.83,166.65,34,16.67,237.91,30,11.9,11.43,15,1.71,4,True
Kawasaki,847,510,922-315-2693,Yes,Yes,31,174.81,140,29.72,226.26,100,22.63,290.16,137,14.51,0.17,7,0.03,2,True
Kyoto,626,415,989-739-9017,Yes,Yes,22,171.34,132,29.13,131.05,149,13.11,192.17,184,9.61,10.59,12,1.59,8,True
Fukuoka,182,408,629-468-2596,No,No,34,305.78,199,51.98,66.17,144,6.62,340.95,124,17.05,5.87,6,0.88,9,False
Tokyo,279,510,833-115-1172,No,No,9,298.93,43,50.82,145.35,63,14.54,47.53,123,2.38,19.97,18,3.0,1,False
Kobe,464,408,738-530-9103,Yes,No,18,60.24,147,10.24,224.05,61,22.4,393.93,153,19.7,10.48,12,1.57,0,False
Sapporo,128,408,550-289-7512,Yes,No,15,318.93,90,54.22,67.09,31,6.71,295.7,9,14.78,11.15,17,1.67,6,False
Tokyo,232,510,322-109-9070,Yes,Yes,42,231.45,101,39.35,94.97,144,9.5,281.99,104,14.1,13.64,10,2.05,0,True
Kobe,179,510,822-186-6593,No,No,12,356.06,69,60.53,304.5,134,30.45,292.6,151,14.63,10.46,6,1.57,6,True
Yokohama,875,415,953-705-8282,No,Yes,43,169.34,118,28.79,273.74,118,27.37,290.47,24,14.52,9.81,18,1.47,6,False
Kobe,886,408,943-573-3301,No,No,31,197.38,40,33.55,13.1,117,1.31,214.63,8,10.73,10.28,8,1.54,1,False
Yokohama,404,415,893-911-4105,No,Yes,41,177.55,138,30.18,223.43,113,22.34,352.18,90,17.61,17.21,5,2.58,8,True
Yokohama,457,408,792-897-7384,No,No,16,280.73,199,47.72,21.95,90,2.19,363.88,154,18.19,4.85,15,0.73,9,True
Kawasaki,168,408,613-432-2017,Yes,No,15,243.55,149,41.4,283.21,164,28.32,348.51,129,17.43,4.34,10,0.65,3,False
Fukuoka,660,510,369-476-4945,No,No,33,132.83,147,22.58,281.42,65,28.14,270.51,27,13.53,4.49,0,0.67,5,True
Kyoto,980,408,561-616-8646,Yes,No,41,95.04,104,16.16,232.6,140,23.26,366.93,177,18.35,15.32,0,2.3,2,True
Sapporo,56,510,348-174-3677,No,No,28,346.53,155,58.91,51.47,163,5.15,265.2,113,13.26,3.69,3,0.55,7,False
Kawasaki,948,510,804-903-5146,No,No,46,222.93,64,37.9,318.84,71,31.88,265.36,95,13.27,11.13,15,1.67,0,True
Yokohama,462,408,264-789-7999,No,No,22,352.52,0,59.93,64.95,137,6.5,177.37,19,8.87,11.15,2,1.67,4,True
Osaka,863,415,441-215-7642,Yes,No,29,49.33,190,8.39,73.51,146,7.35,28.7,33,1.44,9.92,15,1.49,4,True
Fukuoka,839,415,779-355-5793,Yes,No,18,30.55,31,5.19,397.26,8,39.73,289.44,74,14.47,4.53,7,0.68,1,True
Kyoto,187,510,223-513-1513,Yes,Yes,43,155.47,147,26.43,77.86,151,7.79,195.26,141,9.76,2.95,9,0.44,5,False
Kawasaki,660,415,368-508-8169,Yes,No,34,12.88,44,2.19,374.6,54,37.46,103.2,194,5.16,5.38,14,0.81,5,False
Sapporo,334,408,535-466-8581,Yes,Yes,36,397.14,37,67.51,146.97,61,14.7,29.65,10,1.48,12.55,8,1.88,2,False
Osaka,182,408,255-504-6179,No,Yes,18,64.3,124,10.93,53.87,75,5.39,308.63,28,15.43,16.59,3,2.49,4,True
Sapporo,929,510,402-415-5841,No,No,46,267.2,54,45.42,346.59,43,34.66,289.26,96,14.46,18.66,15,2.8,5,True
Saitama,78,510,631-791-3059,Yes,Yes,37,143.37,59,24.37,263.06,21,26.31,7.82,11,0.39,7.87,14,1.18,6,False
Kobe,818,510,504-912-7485,No,Yes,22,361.32,27,61.42,208.47,15,20.85,30.43,82,1.52,8.73,0,1.31,8,True
Tokyo,784,408,914-397-2944,Yes,No,30,98.79,17,16.79,135.4,11,13.54,184.25,122,9.21,16.62,3,2.49,8,True
Fukuoka,493,408,611-173-1872,Yes,No,47,34.31,171,5.83,165.41,31,16.54,207.45,189,10.37,17.26,9,2.59,3,True
Kawasaki,628,415,917-751-8589,Yes,Yes,7,127.57,33,21.69,125.07,29,12.51,209.16,189,10.46,10.29,2,1.54,9,False
Osaka,187,510,327-487-1213,No,No,12,91.34,137,15.53,176.28,99,17.63,283.81,53,14.19,13.56,8,2.03,0,True
Osaka,768,510,112-477-1469,Yes,Yes,31,2.66,123,0.45,398.18,53,39.82,14.24,172,0.71,3.09,6,0.46,5,False
Yokohama,346,415,226-753-3710,Yes,No,0,184.34,165,31.34,167.3,103,16.73,211.94,73,10.6,11.31,2,1.7,8,True
Nagoya,441,510,976-287-1318,No,No,15,365.65,132,62.16,29.59,44,2.96,263.71,14,13.19,17.54,18,2.63,0,True
Kawasaki,998,510,334-612-7379,Yes,No,40,241.04,56,40.98,181.94,149,18.19,201.74,133,10.09,12.48,0,1.87,3,False
Sapporo,806,510,116-995-7145,Yes,Yes,0,108.25,35,18.4,28.09,74,2.81,224.63,36,11.23,0.79,8,0.12,0,True
Tokyo,214,408,207-644-6650,Yes,Yes,18,56.99,193,9.69,148.84,179,14.88,283.43,115,14.17,2.1,1,0.32,9,True
Sapporo,397,408,678-268-7057,Yes,No,46,299.45,127,50.91,277.82,7,27.78,325.87,64,16.29,11.8,15,1.77,5,True
Fukuoka,49,510,551-350-6834,No,No,16,180.24,131,30.64,170.9,107,17.09,195.76,155,9.79,9.95,17,1.49,9,False
Kawasaki,422,415,447-638-6813,Yes,No,20,149.64,95,25.44,355.82,157,35.58,83.97,162,4.2,16.98,16,2.55,1,False
Sapporo,703,510,225-741-3700,No,Yes,25,313.39,110,53.28,64.92,189,6.49,333.12,158,16.66,13.99,11,2.1,6,True
Kyoto,118,510,560-614-9767,No,Yes,42,292.52,187,49.73,262.73,19,26.27,251.93,173,12.6,6.15,13,0.92,9,False
Sapporo,324,408,287-984-3555,Yes,No,33,344.21,30,58.52,131.22,64,13.12,257.29,132,12.86,6.24,3,0.94,6,False
Tokyo,993,415,308-869-7190,No,No,40,22.76,123,3.87,254.63,181,25.46,42.57,17,2.13,19.09,9,2.86,1,False
Yokohama,765,510,916-415-7053,No,No,46,363.94,123,61.87,62.54,55,6.25,294.24,65,14.71,17.5,1,2.62,5,False
Yokohama,976,408,876-952-5131,Yes,Yes,14,140.27,101,23.85,93.0,75,9.3,106.1,57,5.3,8.65,2,1.3,2,True
Nagoya,638,415,996-104-1042,No,No,0,289.27,156,49.18,385.59,48,38.56,205.21,191,10.26,14.27,5,2.14,8,True
Kyoto,640,510,223-737-1917,Yes,No,45,67.31,180,11.44,392.34,38,39.23,96.76,29,4.84,8.95,17,1.34,1,False
Osaka,138,510,303-673-9599,No,No,36,162.49,7,27.62,193.49,152,19.35,388.39,189,19.42,4.94,3,0.74,6,True
Osaka,678,408,914-552-1193,No,No,8,184.67,85,31.39,27.58,62,2.76,16.55,21,0.83,17.61,12,2.64,0,False
Osaka,67,510,703-215-1673,No,Yes,48,337.13,42,57.31,105.23,131,10.52,290.46,46,14.52,12.33,19,1.85,2,False
Kyoto,359,415,703-223-4083,Yes,Yes,44,246.94,37,41.98,83.33,107,8.33,323.68,152,16.18,14.76,0,2.21,3,True
Nagoya,49,415,665-554-2513,No,Yes,26,285.21,21,48.49,129.3,78,12.93,370.0,47,18.5,2.57,15,0.39,1,True
Sapporo,139,510,421-968-6006,No,No,41,199.94,128,33.99,126.64,24,12.66,302.4,25,15.12,2.26,14,0.34,5,True
Kobe,770,408,458-802-4191,Yes,Yes,49,253.64,3,43.12,304.72,28,30.47,339.64,159,16.98,12.95,7,1.94,1,False
Sapporo,489,408,219-930-1800,No,No,44,242.51,68,41.23,109.91,125,10.99,378.33,106,18.92,9.31,3,1.4,3,False
Yokohama,441,408,635-512-2768,No,Yes,47,238.8,130,40.6,392.9,188,39.29,237.23,74,11.86,0.62,13,0.09,3,True
Kawasaki,109,415,289-517-1640,Yes,Yes,39,7.88,87,1.34,397.47,53,39.75,83.25,129,4.16,18.59,3,2.79,5,False
Saitama,950,415,312-277-2218,No,Yes,36,111.09,114,18.89,303.7,56,30.37,121.49,40,6.07,18.96,11,2.84,7,False
Kyoto,718,510,987-731-3974,No,No,9,358.06,104,60.87,256.93,151,25.69,125.77,30,6.29,2.34,19,0.35,5,True
Kyoto,764,408,423-946-9374,Yes,Yes,36,289.65,17,49.24,36.7,167,3.67,25.28,183,1.26,11.6,12,1.74,5,False
Sapporo,804,510,644-975-8014,Yes,Yes,48,361.63,45,61.48,170.01,0,17.0,48.33,165,2.42,5.53,8,0.83,6,True
Kawasaki,737,510,541-665-6284,Yes,Yes,43,90.84,88,15.44,4.72,117,0.47,202.2,119,10.11,5.76,2,0.86,3,True
Fukuoka,259,408,500-958-4576,No,Yes,16,341.69,10,58.09,245.77,69,24.58,212.11,158,10.61,16.43,6,2.46,5,True
Yokohama,222,408,179-391-6024,No,No,32,349.87,130,59.48,80.48,127,8.05,223.11,136,11.16,18.96,14,2.84,7,True
Saitama,414,510,502-107-1214,Yes,Yes,38,163.9,47,27.86,358.88,141,35.89,199.43,69,9.97,2.48,3,0.37,6,False
Sapporo,919,510,998-856-4836,No,No,9,155.61,73,26.45,291.67,33,29.17,163.56,193,8.18,15.43,10,2.31,4,True
Kawasaki,259,415,435-959-5488,Yes,Yes,15,28.48,158,4.84,351.74,149,35.17,131.49,31,6.57,18.21,6,2.73,4,True
Kobe,836,510,717-849-5512,No,No,49,265.27,18,45.1,153.86,114,15.39,133.11,123,6.66,16.16,11,2.42,3,True
Osaka,299,415,474-893-6711,No,Yes,31,32.01,162,5.44,386.6,74,38.66,85.67,187,4.28,1.01,9,0.15,1,False
Kyoto,523,415,776-108-1953,No,No,14,239.11,50,40.65,156.4,43,15.64,325.33,136,16.27,19.86,10,2.98,9,False
Sapporo,343,408,665-911-8591,Yes,Yes,49,283.63,140,48.22,91.33,112,9.13,108.61,156,5.43,14.74,10,2.21,0,False
Fukuoka,917,510,298-380-4430,No,No,21,265.2,158,45.08,291.67,83,29.17,91.53,37,4.58,16.65,3,2.5,7,True
Kyoto,826,415,450-104-8846,Yes,Yes,2,1.55,67,0.26,276.6,169,27.66,352.48,7,17.62,9.34,2,1.4,2,True
Nagoya,628,415,873-458-6145,No,Yes,3,379.39,112,64.5,288.05,142,28.81,342.63,127,17.13,11.95,14,1.79,5,True
Saitama,924,415,925-923-5558,Yes,Yes,16,145.16,47,24.68,395.85,187,39.59,145.4,156,7.27,8.62,7,1.29,0,False
Kobe,270,415,375-504-5962,No,Yes,5,237.58,53,40.39,139.36,7,13.94,155.78,108,7.79,15.96,13,2.39,1,True
Osaka,52,408,462-621-9857,No,No,6,124.98,19,21.25,152.85,63,15.28,168.91,72,8.45,16.9,2,2.53,5,False
Osaka,44,408,314-145-7317,No,No,31,331.37,168,56.33,18.92,19,1.89,150.59,14,7.53,7.9,6,1.18,2,True
Kawasaki,928,510,384-637-3411,Yes,Yes,6,345.16,114,58.68,143.24,175,14.32,202.76,53,10.14,12.44,1,1.87,6,False
Kobe,39,408,725-932-8885,Yes,No,17,339.98,169,57.8,274.74,11,27.47,309.33,44,15.47,19.34,7,2.9,3,False
Sapporo,444,510,853-196-8460,No,No,35,161.52,127,27.46,336.04,39,33.6,127.86,97,6.39,16.77,17,2.52,0,False
Tokyo,729,510,266-888-4583,Yes,No,35,388.5,160,66.04,379.81,169,37.98,67.43,145,3.37,2.68,7,0.4,7,False
Sapporo,120,408,365-130-5905,Yes,Yes,16,75.39,52,12.82,95.2,168,9.52,136.05,183,6.8,3.36,13,0.5,9,True
Kawasaki,520,510,777-969-4837,Yes,No,37,272.35,91,46.3,236.57,5,23.66,335.62,141,16.78,5.63,8,0.84,6,False
Kobe,425,415,308-969-8484,Yes,No,48,106.05,192,18.03,373.99,54,37.4,99.76,85,4.99,11.15,2,1.67,0,True
Saitama,26,510,550-725-6253,Yes,Yes,34,75.27,48,12.8,30.52,78,3.05,0.82,118,0.04,17.42,0,2.61,3,False
Sapporo,649,408,308-392-7365,Yes,Yes,4,119.7,148,20.35,129.4,139,12.94,139.4,133,6.97,12.09,17,1.81,7,False
Nagoya,224,408,257-115-2921,Yes,Yes,40,287.2,33,48.82,117.14,127,11.71,213.89,134,10.69,0.72,4,0.11,3,False
Tokyo,85,415,616-922-9901,Yes,No,4,197.57,73,33.59,31.66,143,3.17,287.79,179,14.39,10.85,10,1.63,5,True
Nagoya,755,408,271-856-1158,No,Yes,42,113.56,186,19.31,318.37,180,31.84,227.69,126,11.38,15.77,10,2.37,5,False
Saitama,884,415,100-320-2240,No,Yes,33,132.86,114,22.59,364.16,192,36.42,305.25,104,15.26,13.78,0,2.07,9,True
Kobe,480,408,173-559-6645,No,Yes,16,11.67,149,1.98,141.63,151,14.16,272.13,90,13.61,15.14,8,2.27,8,False
Nagoya,949,510,913-157-7531,No,Yes,23,377.58,113,64.19,332.12,76,33.21,191.88,112,9.59,19.92,9,2.99,7,False
Fukuoka,161,415,113-239-9967,Yes,Yes,17,329.38,179,55.99,62.84,134,6.28,209.6,89,10.48,10.17,0,1.53,7,True
Fukuoka,307,408,246-399-8676,No,No,11,290.09,3,49.32,179.27,67,17.93,17.59,104,0.88,17.83,9,2.67,4,False
Fukuoka,604,510,339-426-8740,No,Yes,41,89.89,157,15.28,0.85,9,0.08,192.87,139,9.64,13.46,2,2.02,7,True
Tokyo,617,510,388-423-8830,Yes,Yes,16,116.79,43,19.85,354.39,155,35.44,57.85,20,2.89,15.78,19,2.37,0,False
Kobe,639,510,593-857-6635,Yes,No,38,101.24,161,17.21,378.74,102,37.87,2.45,188,0.12,14.2,2,2.13,5,False
Saitama,554,510,437-232-9521,Yes,Yes,9,32.22,52,5.48,270.45,106,27.04,341.48,36,17.07,15.88,2,2.38,7,False
Osaka,427,408,648-984-6208,No,No,38,237.52,29,40.38,1.02,151,0.1,121.46,51,6.07,0.64,17,0.1,9,False
Saitama,482,415,140-105-1496,No,Yes,3,30.28,120,5.15,46.35,13,4.64,299.97,94,15.0,11.87,19,1.78,8,False
Kyoto,994,415,544-931-9879,Yes,No,30,290.04,199,49.31,174.88,168,17.49,239.54,44,11.98,17.09,2,2.56,6,True
Kawasaki,935,510,817-707-9868,No,No,1,383.08,157,65.12,168.45,140,16.84,339.26,101,16.96,19.91,4,2.99,0,True
Kyoto,570,510,496-607-3241,No,Yes,36,93.01,196,15.81,227.81,178,22.78,243.61,117,12.18,4.37,5,0.66,4,True
Tokyo,4,510,836-615-1243,Yes,No,14,203.75,4,34.64,147.23,125,14.72,269.01,39,13.45,7.43,9,1.11,1,False
Osaka,585,408,535-839-7550,No,Yes,41,188.87,15,32.11,392.43,8,39.24,177.59,146,8.88,13.66,2,2.05,7,True
Kawasaki,400,415,429-848-8153,Yes,No,15,132.29,118,22.49,225.7,78,22.57,323.59,88,16.18,15.23,1,2.28,9,True
Kyoto,234,415,610-504-1036,No,No,45,146.07,131,24.83,5.73,39,0.57,94.07,152,4.7,16.13,9,2.42,1,False
Kyoto,429,408,448-861-5393,No,No,38,76.04,153,12.93,73.61,155,7.36,339.45,74,16.97,14.45,2,2.17,4,True
Kyoto,47,510,416-200-4748,No,Yes,47,234.25,42,39.82,218.53,79,21.85,126.43,58,6.32,12.18,1,1.83,3,False
Sapporo,243,408,653-387-8200,Yes,No,31,191.8,186,32.61,184.86,27,18.49,321.84,96,16.09,3.19,4,0.48,8,True
Kawasaki,726,510,131-971-1486,No,No,40,222.42,191,37.81,309.04,33,30.9,2.4,113,0.12,17.71,9,2.66,4,True
Kobe,179,408,677-144-4435,Yes,Yes,34,35.17,110,5.98,357.27,158,35.73,180.66,91,9.03,18.24,3,2.74,1,False
Osaka,26,408,529-920-3439,No,No,35,113.01,111,19.21,249.78,149,24.98,47.74,113,2.39,1.93,15,0.29,2,False
Kawasaki,179,408,340-802-4834,No,Yes,45,221.17,12,37.6,264.5,83,26.45,80.25,23,4.01,12.09,4,1.81,1,False
Saitama,950,415,289-238-4735,No,No,25,195.45,176,33.23,185.61,17,18.56,9.9,140,0.5,6.2,4,0.93,6,False
Nagoya,988,415,393-852-5123,No,No,7,13.71,14,2.33,371.97,95,37.2,331.93,199,16.6,18.0,0,2.7,9,False
Tokyo,382,408,877-635-5149,Yes,No,20,156.0,143,26.52,67.38,131,6.74,225.75,120,11.29,9.33,6,1.4,7,True
Kyoto,840,415,178-370-4732,No,No,3,61.89,122,10.52,36.35,74,3.64,290.79,42,14.54,13.3,0,2.0,9,True
Kyoto,303,408,862-633-5098,No,No,15,163.22,32,27.75,230.54,38,23.05,241.29,17,12.06,13.34,18,2.0,3,True
Sapporo,334,510,472-574-3002,No,No,43,143.92,73,24.47,10.59,172,1.06,320.32,51,16.02,14.14,2,2.12,8,True
Osaka,496,510,272-375-4272,No,Yes,31,92.59,72,15.74,312.95,64,31.3,80.23,193,4.01,18.93,16,2.84,4,False
Nagoya,309,510,797-237-2070,Yes,Yes,35,214.73,147,36.5,382.33,172,38.23,92.12,13,4.61,19.65,15,2.95,9,False
Kobe,280,408,188-737-3084,Yes,Yes,26,4.29,39,0.73,56.01,119,5.6,348.71,126,17.44,4.03,3,0.6,8,True
Fukuoka,186,408,610-431-6225,Yes,No,7,321.88,84,54.72,147.15,192,14.72,237.28,123,11.86,16.38,8,2.46,0,True
Kyoto,208,415,512-919-5053,Yes,Yes,9,365.24,191,62.09,145.52,28,14.55,155.87,198,7.79,17.97,19,2.7,4,False
Osaka,211,510,864-670-4934,Yes,No,22,266.43,109,45.29,277.99,38,27.8,338.63,103,16.93,8.51,18,1.28,3,False
Osaka,660,408,390-741-2846,No,No,24,339.61,129,57.73,242.34,1,24.23,333.33,106,16.67,8.14,14,1.22,9,True
Saitama,778,510,728-727-2824,No,Yes,15,374.45,187,63.66,391.17,47,39.12,226.46,102,11.32,12.94,0,1.94,8,True
Tokyo,97,415,372-864-1430,No,Yes,25,255.48,117,43.43,185.5,2,18.55,349.12,17,17.46,16.69,6,2.5,5,False
Fukuoka,723,408,327-939-2282,No,Yes,36,386.86,75,65.77,217.04,69,21.7,42.69,128,2.13,0.46,5,0.07,4,True
Tokyo,612,510,600-945-3936,Yes,Yes,27,30.5,151,5.18,394.23,174,39.42,73.21,145,3.66,14.76,18,2.21,1,True
Saitama,132,415,472-278-5568,No,Yes,35,206.11,176,35.04,373.35,15,37.34,103.07,107,5.15,9.08,2,1.36,8,True
Kyoto,439,510,844-136-5240,No,Yes,33,267.1,86,45.41,206.71,92,20.67,16.54,15,0.83,1.75,5,0.26,5,False
Tokyo,363,415,883-665-9435,No,No,25,124.29,34,21.13,186.67,147,18.67,61.08,127,3.05,15.15,1,2.27,0,True
Tokyo,774,510,362-756-3188,No,Yes,15,177.96,73,30.25,321.6,169,32.16,30.61,102,1.53,8.09,13,1.21,2,True
Osaka,206,408,732-181-5569,Yes,No,40,294.15,92,50.01,366.53,170,36.65,125.85,198,6.29,16.16,0,2.42,3,False
Tokyo,412,415,185-756-3446,No,Yes,29,84.69,17,14.4,257.82,3,25.78,207.6,95,10.38,7.38,9,1.11,2,True
Yokohama,468,415,353-612-1086,No,No,45,128.62,82,21.87,366.39,128,36.64,261.31,132,13.07,2.07,16,0.31,7,False
Kawasaki,939,415,942-655-5169,No,No,29,99.0,10,16.83,386.68,104,38.67,268.89,60,13.44,6.89,4,1.03,8,False
Kawasaki,984,510,634-153-6264,No,No,7,109.02,192,18.53,147.85,151,14.78,135.06,5,6.75,0.66,4,0.1,3,False
Yokohama,330,415,735-641-4172,No,No,13,335.92,58,57.11,340.51,152,34.05,369.05,5,18.45,7.37,9,1.11,1,True
Saitama,132,510,506-465-8602,Yes,No,20,238.98,181,40.63,88.29,162,8.83,307.07,54,15.35,0.9,15,0.14,6,False
Kawasaki,474,510,749-514-2840,No,Yes,35,91.84,114,15.61,331.49,22,33.15,318.43,22,15.92,1.43,15,0.21,1,False
Tokyo,3,408,742-307-6555,No,Yes,15,119.05,79,20.24,329.3,46,32.93,18.4,43,0.92,3.32,8,0.5,4,True
Osaka,76,415,667-566-5106,No,Yes,6,8.22,103,1.4,122.1,105,12.21,328.2,178,16.41,5.12,4,0.77,9,False
Tokyo,787,510,611-197-8488,No,No,34,304.69,165,51.8,72.16,135,7.22,122.28,140,6.11,12.63,15,1.89,4,True
Yokohama,876,510,753-797-5692,Yes,No,33,277.99,53,47.26,284.1,167,28.41,44.37,133,2.22,3.26,14,0.49,5,True
Kawasaki,684,408,145-920-5169,No,No,2,17.08,22,2.9,17.93,56,1.79,232.74,121,11.64,13.19,1,1.98,8,True
Sapporo,700,408,235-991-8221,Yes,No,23,180.7,74,30.72,325.83,194,32.58,226.52,55,11.33,16.61,2,2.49,3,True
Fukuoka,475,415,609-360-5371,No,Yes,18,91.84,160,15.61,14.53,172,1.45,275.68,184,13.78,4.0,19,0.6,8,True
Kobe,712,408,423-224-3124,No,Yes,43,292.1,82,49.66,13.07,36,1.31,338.01,24,16.9,3.95,18,0.59,0,False
Fukuoka,823,415,853-900-8432,No,Yes,12,250.68,58,42.62,135.41,100,13.54,166.4,21,8.32,13.72,0,2.06,1,False
Fukuoka,95,415,561-169-4247,Yes,No,9,310.06,130,52.71,33.26,123,3.33,114.96,196,5.75,0.78,13,0.12,2,True
Kawasaki,949,510,254-328-8753,No,No,30,132.07,120,22.45,261.81,13,26.18,284.28,185,14.21,17.1,0,2.56,1,False
Osaka,607,510,553-263-6110,No,Yes,3,130.2,62,22.13,389.89,141,38.99,116.88,42,5.84,11.72,11,1.76,9,False
Nagoya,841,408,239-508-6072,Yes,Yes,2,191.15,186,32.5,320.6,187,32.06,243.75,61,12.19,14.29,6,2.14,3,True
Osaka,667,510,111-462-7848,No,No,37,394.21,159,67.02,295.69,133,29.57,67.32,180,3.37,5.33,16,0.8,1,False
Yokohama,117,408,248-203-4432,No,Yes,49,153.27,116,26.06,254.26,22,25.43,214.67,148,10.73,13.02,1,1.95,2,False
Osaka,482,510,973-132-2460,Yes,Yes,23,173.12,156,29.43,291.69,158,29.17,348.51,42,17.43,13.15,11,1.97,8,False
Yokohama,455,415,436-482-2674,Yes,Yes,35,53.59,40,9.11,67.97,77,6.8,155.73,143,7.79,9.17,5,1.38,6,False
Saitama,759,510,755-118-8494,Yes,No,19,164.74,166,28.01,201.64,168,20.16,344.84,71,17.24,5.11,19,0.77,6,True
Tokyo,111,408,526-720-3757,No,No,23,365.22,146,62.09,327.28,75,32.73,167.91,93,8.4,16.76,7,2.51,9,True
Tokyo,361,415,146-953-2110,Yes,Yes,43,354.74,15,60.31,163.48,103,16.35,366.32,41,18.32,9.11,4,1.37,9,False
Tokyo,739,408,996-542-1131,No,No,29,125.08,75,21.26,163.25,161,16.32,97.24,56,4.86,14.02,10,2.1,0,False
Kyoto,545,408,443-607-8212,No,Yes,3,145.14,178,24.67,188.26,136,18.83,318.18,199,15.91,5.74,13,0.86,6,True
Kyoto,152,510,548-902-8077,Yes,Yes,42,386.66,88,65.73,302.7,179,30.27,2.78,43,0.14,11.51,1,1.73,9,False
Saitama,366,510,156-961-9649,No,No,12,215.7,198,36.67,226.17,9,22.62,134.9,193,6.75,8.5,3,1.27,2,False
